"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",42397.914,10.7336688196192,42380,42390,42400,42400,42420,1.00112389919939,4600
"sigma",1.1085532,0.0171310321992822,1.075,1.097,1.108,1.12,1.142,1.0012517546102,3300
"u[1]",0.97765022,0.0905188449120317,0.7962,0.9174,0.978049998721947,1.041,1.14502498936201,1.00409781073092,460
"u[2]",1.02216822,0.127803620579067,0.776177487272073,0.9397,1.023,1.103,1.27602499045359,1.00082863443087,5000
"u[3]",0.92180812,0.104392456983638,0.7158,0.854274998902535,0.925499994597515,0.9894,1.129,1.001493563614,3000
"u[4]",0.98946832,0.13701105652574,0.7273,0.9024,0.9891,1.074,1.281,1.00158661925198,1900
"u[5]",0.962015736,0.141297568417246,0.672794999275274,0.877574998931675,0.967649998708211,1.054,1.232,1.00604239831615,5000
"u[6]",0.9889894,0.136619752609206,0.708567470897847,0.904774998963793,0.9903,1.076,1.26004996134991,1.002334202661,980
"u[7]",1.01100682,0.136734024039935,0.7499,0.9208,1.012,1.1,1.28202499049825,1.00210813322195,1100
"u[8]",0.95305692,0.121850434984102,0.7059,0.875599982866281,0.958199979127531,1.033,1.19202498978123,1.00260841071763,5000
"u[9]",0.9537646,0.129622869619931,0.698194999301644,0.868274998920231,0.9536,1.041,1.201,1.00080547020232,5000
"u[10]",1.17550998,0.0960898553566405,0.994864975967783,1.111,1.172,1.238,1.37302499112771,1.0021323931036,5000
"u[11]",0.96348334,0.114949942176087,0.731467471809973,0.8886,0.9628,1.04124990999279,1.192,1.00437426819614,880
"u[12]",0.90370418,0.14823714870092,0.569997499786159,0.8241,0.9186,1,1.16202498951756,1.00635195007064,4900
"u[13]",1.07268402,0.140822037919895,0.8166,0.977874999041256,1.064,1.159,1.37302499112771,1.00119127070033,3800
"u[14]",1.03000266,0.117617133449768,0.806094999395138,0.9505,1.029,1.101,1.27402499043861,1.0018170513792,1500
"u[15]",1.0693441,0.124051191323597,0.833494999415025,0.989749996210909,1.065,1.144,1.323,1.0024773552515,4500
"u[16]",1.03454704,0.13330914336526,0.777794999373126,0.943449996024946,1.032,1.11624991603851,1.308,1.00107806610828,5000
"u[17]",1.02905324,0.122246533302517,0.806687496221496,0.9444,1.026,1.105,1.285,1.001116039372,4700
"u[18]",1.06029608,0.135671428443622,0.8154,0.9767,1.051,1.141,1.367,1.00136640011165,2600
"u[19]",0.97808952,0.1265264350953,0.712,0.902174998960806,0.9789,1.059,1.22102499002381,1.00116699683789,4100
"u[20]",1.00828126,0.104687276456993,0.804397499848477,0.937,1.005,1.074,1.224,1.00186288684104,1400
"u[21]",0.99968998,0.132306271595493,0.746697499836767,0.9167,0.9947,1.078,1.288,1.00405655830229,1600
"u[22]",0.9509497,0.134803651140398,0.669592498361412,0.8666,0.957,1.035,1.19902498984086,1.00084615291651,5000
"u[23]",1.03211354,0.122971053206247,0.801092498630451,0.950049996052562,1.025,1.1102499155849,1.28704996215992,1.00086411966914,5000
"u[24]",0.9903856,0.129878704429221,0.7371,0.9059,0.9899,1.072,1.259,1.0030957429986,5000
"u[25]",0.9924444,0.133327945821074,0.717779989125484,0.9084,0.9904,1.08,1.26402499036301,1.00106367836963,5000
"u[26]",1.02318872,0.12701728384295,0.785989997518252,0.938774999001323,1.022,1.103,1.27602499045359,1.0010420806102,5000
"u[27]",1.12264914,0.108458443664202,0.925694999473297,1.052,1.115,1.194,1.354,1.00337860176179,2400
"u[28]",0.90192052,0.12999999307142,0.611984992826252,0.822699981764396,0.91174999862901,0.9902,1.139024989306,1.00083877440787,5000
"u[29]",0.94811548,0.138000507928077,0.655272477471094,0.8607,0.9501,1.04,1.217,1.00223128496709,5000
"u[30]",1.0299302,0.133294779956429,0.769577487162835,0.943474999006298,1.029,1.112,1.30602499067277,1.00104023816768,5000
"u[31]",0.95985772,0.135750978980118,0.679697499820676,0.8772,0.9644,1.045,1.219,1.00183654264881,5000
"u[32]",0.9235037,0.137715003731476,0.637674980868596,0.8374,0.9268,1.014,1.17902498966862,1.0009412969133,5000
"u[33]",1.07960584,0.1314199015979,0.8288,0.9913,1.073,1.16,1.365,1.00115552930431,4200
"u[34]",1.17364776,0.082409420926942,1.024,1.114,1.174,1.229,1.344,1.00148964549353,2200
"u[35]",0.98424684,0.144740101607734,0.6919,0.8902,0.9883,1.081,1.26902499040096,1.00121455033095,3600
"u[36]",0.94739708,0.119891933651203,0.7025,0.87,0.951499994745139,1.025,1.17402498962464,1.00444604462838,2600
"u[37]",1.0189512,0.126456251989743,0.779054949239298,0.9339,1.018,1.099,1.281,1.00649985884249,3700
"u[38]",1.06276588,0.0685355296148612,0.9304,1.015,1.065,1.109,1.2,1.00279327446572,1800
"u[39]",1.10080342,0.0887187563587857,0.9281,1.042,1.097,1.158,1.288,1.00240519692347,940
"u[40]",1.035206,0.141416608697292,0.762194999360294,0.949674999012786,1.029,1.117,1.3360499635464,1.0009267272158,5000
"u[41]",1.07255762,0.0704668134393408,0.934797499869615,1.024,1.072,1.11624991603851,1.215,1.00130284836554,3000
"u[42]",0.965143,0.108960304609505,0.743894999344554,0.894074998951391,0.9693,1.038,1.179,1.00091193006389,5000
"u[43]",0.99373058,0.124895271314101,0.7357,0.918349995916293,0.9955,1.075,1.24404996085332,1.00196684133615,1300
"u[44]",0.79727194,0.123517109786128,0.546769967857723,0.716074998690719,0.8021,0.885574990473368,1.019,1.00220773198894,1100
"u[45]",0.90374826,0.140487423024903,0.600597499797056,0.8176,0.91854999863916,0.9951,1.175,1.00278097653303,1800
"u[46]",1.03926182,0.101265110896224,0.844982492928836,0.9723499961431,1.036,1.104,1.241,1.00081955098644,5000
"u[47]",1.0067725,0.132042534995204,0.734827360166102,0.9265,1.00649987580725,1.083,1.27804996189371,1.00085684059967,5000
"u[48]",0.99408834,0.0922688096850314,0.8062,0.9355,0.9965,1.058,1.172,1.00265114115972,1300
"u[49]",0.94928116,0.118800621642292,0.700497499826001,0.8741,0.951299994744034,1.029,1.165,1.00363199882394,3600
"u[50]",1.05087016,0.140032535690049,0.793394999385454,0.961,1.047,1.13,1.35702499102315,1.00158180767961,2900
"u[51]",1.03691444,0.144003510893715,0.761747429319225,0.9391,1.034,1.126,1.332,1.00297737951128,690
"u[52]",1.02045248,0.12017664160263,0.794262465433697,0.938474999001003,1.015,1.097,1.27,1.00081262773744,5000
"u[53]",0.90208656,0.112025463463711,0.675979988452541,0.82559998182846,0.904249998617639,0.978824999042252,1.119,1.00139469931349,5000
"u[54]",1.02355154,0.135459544481984,0.7517,0.9396,1.02,1.108,1.30307491594664,1.00273142078215,5000
"u[55]",1.00617302,0.140055306889376,0.7381,0.918474998979249,1.002,1.091,1.301,1.00217993373999,1100
"u[56]",1.01094614,0.111560275529041,0.7843,0.9399,1.01,1.082,1.232,1.00333792980546,590
"u[57]",0.97308858,0.128652842760561,0.69904742296753,0.8943,0.9726,1.054,1.222,1.0008422350607,5000
"u[58]",0.91328624,0.144341609713628,0.609294999199729,0.83,0.9213,1.004,1.192,1.00212871926126,1100
"u[59]",1.1264226,0.0702275792820624,0.988977490012343,1.077,1.125,1.173,1.267,1.00122554002942,3500
"u[60]",1.10722568,0.11485242392041,0.9036,1.025,1.104,1.183,1.33902499090253,1.00115652249943,4200
"u[61]",0.82458884,0.130096859170418,0.5603,0.7355,0.8283,0.9177,1.065,1.00300739862433,790
"u[62]",1.05242532,0.124804721699979,0.8171,0.9723,1.049,1.126,1.327,1.00115328439689,4200
"u[63]",0.85373924,0.134347712156831,0.559282489313785,0.770549995132925,0.867749998559493,0.9452,1.089,1.01354876382776,1500
"u[64]",0.98708356,0.13337945014608,0.723987495789695,0.900949995837419,0.986249998732573,1.072,1.26204996141109,1.0017471977594,1600
"sdu",0.142431588,0.0378133076073054,0.0743469976370316,0.114674991822345,0.140349991093694,0.1671,0.2211,1.00612104557027,5000
"beta[1]",4.119104,0.11858388259558,3.87197499685187,4.042,4.12,4.203,4.3500249971987,1.00491582057903,3100
"beta[2]",-0.19121664,0.0252489280719827,-0.2399,-0.208025,-0.1916,-0.1736,-0.1432975,1.00099866840696,5000
"beta[3]",-0.55895204,0.047534391923338,-0.6495,-0.5925,-0.5591,-0.526575,-0.463995,1.00082173972363,5000
"beta[4]",-1.27708016,0.095560514380973,-1.46005,-1.339,-1.28,-1.214,-1.093925,1.00738962901871,270
"beta[5]",2.8294966,0.0691858809705068,2.694,2.785,2.83,2.877,2.962,1.00591028913141,690
"beta[6]",1.61050048,0.280249513251504,1.09794995554778,1.419,1.593,1.792,2.17607494963785,1.000826455034,5000
"beta[7]",0.50165538,0.0621361338585028,0.3751,0.4603,0.5037,0.54282499827303,0.6158,1.00503018163284,5000
"beta[8]",0.15096275104,0.0678394449928096,0.018499,0.105,0.1516,0.197325,0.278705,1.00327565073883,5000
"beta[9]",0.2348714891518,0.125522531537224,-0.005592,0.1487,0.23,0.3181,0.4740225,1.00154268857413,4600
"beta[10]",-0.57035118,0.0709840604218609,-0.7059,-0.620325,-0.5733,-0.5203,-0.433965000000001,1.0010506115796,5000
"beta[11]",-0.03940189166,0.230118530219239,-0.4704,-0.2028,-0.046505,0.1243,0.4157,1.04499064417983,120
"beta[12]",-0.51812756,0.0673894696860816,-0.6544025,-0.5633,-0.5174,-0.4738,-0.3916,1.0046648785171,510
"beta[13]",-0.32072707452,0.225920567365652,-0.7595275,-0.488475,-0.3124,-0.1621,0.1026025,1.04237802674204,110
"deviance",42397.914,10.7336688196192,42380,42390,42400,42400,42420,1.00112389919939,4600
"1",42430.2
"2",32.277
